flight,seq,uid,timestamp,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,altitude,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,payload,yaw,IDLE_HOVER,ASCEND,TURN,HMSL,DESCEND
3,1637,a3d9,1674047248,7.409999847,141,44014,18350,33.41490173,35.14555359,39.31937408,200,-0.022439355,0.023489133,0.204443395,0.978339195,4.722094536,1.962728977,-0.071764797,0.003758142,0.015264201,-0.021131806,0.012932817,0.067826599,0.114390373,0.470999986,0.411062599,0,0,0,1,0
3,1638,a3d9,1674047248,7.409999847,141,44014,18350,33.41490936,35.1455574,39.31232452,200,-0.021625254,0.023087535,0.205033958,0.97824353,4.727232933,1.969513535,-0.068764359,0.013258199,0.032470185,-0.011362773,0.013129631,0.046893604,0.147431374,0.470999986,0.412317042,0,0,0,1,0
3,1639,a3d9,1674047248,7.940000057,157,44073,18350,33.41491318,35.1455574,39.30010223,200,-0.021330161,0.02253514,0.205504864,0.978164077,4.731379032,1.977463126,-0.064491265,0.006220117,-0.018455103,-0.049462747,0.019579463,0.056061905,0.187571526,0.470999986,0.413301428,0,0,0,1,0
3,1640,a3d9,1674047248,7.940000057,157,44073,18350,33.41491699,35.14556122,39.2932663,200,-0.021598563,0.021577625,0.205863953,0.978104234,4.734483719,1.984701395,-0.058745109,0.027425647,-0.030764924,-0.059997607,-0.010001991,0.045752626,0.122619629,0.470999986,0.414034697,0,0,0,1,0
3,1641,a3d9,1674047248,7.940000057,157,44075,18350,33.41492462,35.14556122,39.282547,200,-0.020266745,0.020896019,0.205900699,0.978139818,4.735676765,1.993116736,-0.054242462,0.074063987,-0.004518212,0.045451324,-0.019540206,0.080299221,-0.000774384,0.470999986,0.414180891,0,0,0,1,0
3,1642,a3d9,1674047248,7.940000057,157,44075,18350,33.41492844,35.14556503,39.27826691,200,-0.01933315,0.019940455,0.205742449,0.978211939,4.737594128,1.997908235,-0.049204759,0.006819715,-0.029589834,0.10002704,-0.01633722,0.028524496,-0.050889015,0.470999986,0.413910057,0,0,0,1,0
3,1643,a3d9,1674047248,7.940000057,157,44072,18350,33.41493225,35.14556503,39.26676178,200,-0.018901614,0.019422574,0.205577776,0.978265464,4.735873222,2.003078222,-0.047903538,-0.01253167,-0.050877724,0.016048616,-0.06770061,0.023022162,-0.161560059,0.470999986,0.413597713,0,0,0,1,0
3,1644,a3d9,1674047249,7.940000057,157,44072,18350,33.41493988,35.14556885,39.26259613,200,-0.019328553,0.019559853,0.205543801,0.97826153,4.73324728,2.007868767,-0.045370512,-0.021295998,0.007025985,-0.004182477,-0.036769487,0.016026672,0.087296486,0.470999986,0.413508297,0,0,0,1,0
3,1645,a3d9,1674047249,7.940000057,157,44089,18482,33.4149437,35.14556885,39.2600174,200,-0.019559387,0.020207094,0.20534876,0.978284717,4.728954315,2.017374516,-0.042804066,0.001238109,0.065030761,-0.060486861,-0.05268541,0.066805311,0.130604744,0.470999986,0.413091932,0,0,0,1,0
3,1646,a3d9,1674047249,7.940000057,157,44089,18482,33.41494751,35.14557266,39.25682831,200,-0.018953377,0.020725247,0.205194116,0.978318274,4.726620674,2.026198864,-0.040499218,0.050123207,0.041334342,-0.084750563,-0.030299816,0.029266866,0.103918076,0.470999986,0.412797577,0,0,0,1,0
3,1647,a3d9,1674047249,7.940000057,157,44096,18482,33.41495514,35.14557266,39.25291443,200,-0.017276039,0.022036267,0.205172464,0.978325188,4.72681427,2.033203602,-0.038162239,0.048824575,0.00225107,-0.024814634,0.01896384,0.010299282,0.082284927,0.470999986,0.412821444,0,0,0,1,0
3,1648,a3d9,1674047249,7.940000057,157,44096,18482,33.41495895,35.14557648,39.24799347,200,-0.016662154,0.021770645,0.205220699,0.978331685,4.729826927,2.034944534,-0.040330067,0.013477014,0.017686922,-0.00104579,0.023865189,-0.019256961,-0.033288956,0.470999986,0.412949932,0,0,0,1,0
3,1649,a3d9,1674047249,4.119999886,204,44092,18482,33.41496658,35.14557648,39.25314331,200,-0.015122128,0.021128146,0.205255195,0.978363574,4.733185291,2.034790277,-0.039373238,0.042348295,-0.046084322,0.10118039,0.000327322,-0.014580628,-0.094528198,0.470999986,0.413092366,0,0,0,1,0
3,1650,a3d9,1674047249,4.119999886,204,44092,18482,33.4149704,35.14558029,39.24865723,200,-0.014293221,0.020690447,0.204940349,0.978451371,4.736950874,2.028730392,-0.039912082,-0.037158825,-0.069089577,0.010227703,0.008939738,-0.070677303,-0.071685791,0.470999986,0.412485579,0,0,0,1,0
